1,1,6,8
2,2,16,6
3,2,2,6
4,7,15,7
5,9,3,8
6,10,9,6
7,11,11,4
8,11,9,17
9,12,2,11
10,13,12,13
11,15,2,11
12,19,7,15
13,19,14,5
14,27,7,5
15,30,8,1
16,32,7,4
17,36,14,6
18,37,5,11
19,39,8,17
20,40,6,1
21,42,5,16
22,43,15,4
23,44,3,14
24,45,16,17
25,45,9,2
26,47,13,6
27,50,6,10
28,50,15,7
29,52,14,16
30,53,12,5
31,57,3,5
32,57,5,17
33,60,2,9
34,63,3,16
35,64,16,15
36,64,11,17
37,64,3,13
38,65,7,14
39,68,12,1
40,76,7,8
41,81,5,9
42,81,4,2
43,82,16,11
44,82,1,9
45,83,12,8
46,85,6,15
47,87,3,2
48,89,2,4
49,94,9,2
50,99,2,9
